ticker,year,review_count,rating,POST_CHATGPT,word_count_pros,word_count_cons
SPG,2020,59,3.360655737704918,0,464,756
SPG,2021,97,3.2755102040816326,0,600,1330
SPG,2022,84,3.36046511627907,0,545,1093
SPG,2023,54,3.169491525423729,1,442,757
SPG,2024,67,3.3285714285714287,1,512,758
SPG,2025,32,3.303030303030303,1,217,494
STAG,2014,1,2.0,0,6,35
STAG,2016,2,3.5,0,18,15
STAG,2017,1,4.0,0,11,11
STAG,2021,5,4.8,0,115,51
STAG,2022,8,4.875,0,168,44
STAG,2023,1,5.0,1,10,4
STAG,2024,2,4.5,1,12,8
STWD,2014,2,3.5,0,66,37
STWD,2015,2,4.0,0,22,12
STWD,2016,7,3.142857142857143,0,55,58
STWD,2017,2,4.5,0,9,7
STWD,2018,4,3.75,0,28,23
STWD,2019,1,4.0,0,4,4
STWD,2020,4,3.75,0,36,32
STWD,2021,6,4.0,0,45,24
STWD,2022,4,4.0,0,22,21
STWD,2023,2,4.5,1,12,13
STWD,2024,4,3.0,1,34,78
STWD,2025,2,4.0,1,11,11
SUI,2014,7,3.0,0,74,129
SUI,2015,16,3.5,0,155,186
SUI,2016,21,3.619047619047619,0,314,272
SUI,2017,49,3.795918367346939,0,644,632
SUI,2018,24,3.8846153846153846,0,324,321
SUI,2019,44,4.136363636363637,0,743,496
SUI,2020,27,4.0,0,333,208
SUI,2021,42,3.511627906976744,0,355,564
SUI,2022,33,3.5,0,311,423
SUI,2023,39,3.902439024390244,1,449,376
SUI,2024,26,2.730769230769231,1,190,527
SUI,2025,32,3.375,1,316,492
TRTX,2014,4,3.0,0,42,36
TRTX,2015,13,3.5,0,177,367
TRTX,2016,16,3.7058823529411766,0,179,214
TRTX,2017,20,2.95,0,206,256
TRTX,2018,14,4.285714285714286,0,138,84
TRTX,2019,18,3.5,0,149,191
TRTX,2020,18,3.4444444444444446,0,113,151
TRTX,2021,33,4.114285714285714,0,348,553
TRTX,2022,19,4.304347826086956,0,170,212
TRTX,2023,27,3.9655172413793105,1,227,313
TRTX,2024,34,3.789473684210526,1,255,254
TRTX,2025,22,3.272727272727273,1,130,374
UDR,2014,30,2.28125,0,384,838
