ticker,year,mnir_score_pros,mnir_score_cons,mnir_ai_productivity
MAA,2012,0.0,0.0,0.0
MAA,2013,0.0,0.0,0.0
MAA,2014,0.0,0.0,0.0
MAA,2015,0.0,0.0,0.0
MAA,2016,0.0,0.0,0.0
MAA,2017,0.0,0.0,0.0
MAA,2018,0.0,0.0,0.0
MAA,2019,0.0,0.0,0.0
MAA,2020,0.0,0.0,0.0
MAA,2021,0.0,0.0,0.0
MAA,2022,0.0,0.0,0.0
MAA,2023,0.0,0.0,0.0
MAA,2024,0.0,0.0,0.0
MAA,2025,0.0,0.0,0.0
MAC,2008,0.0,0.0,0.0
MAC,2009,0.0,0.0,0.0
MAC,2010,0.0,0.0,0.0
MAC,2011,0.0,0.0,0.0
MAC,2012,0.0,0.0,0.0
MAC,2013,0.0,0.0,0.0
MAC,2014,0.0,0.0,0.0
MAC,2015,0.0,0.0,0.0
MAC,2016,0.0,0.0,0.0
MAC,2017,0.0,0.0,0.0
MAC,2018,0.0,0.0,0.0
MAC,2019,0.0,0.0,0.0
MAC,2020,0.0,0.0,0.0
MAC,2021,0.0,0.0,0.0
MAC,2022,0.0,0.0,0.0
MAC,2023,0.0,0.0,0.0
MAC,2024,0.0,0.0,0.0
MAC,2025,0.0,0.0,0.0
MFA,2020,0.0,0.0,0.0
MFA,2021,0.0,0.0,0.0
MFA,2022,0.0,0.0,0.0
MFA,2023,0.0,0.0,0.0
MFA,2024,0.0,0.0,0.0
MPW,2022,0.0,0.0,0.0
MPW,2023,0.0,0.0,0.0
MPW,2024,0.0,0.0,0.0
MPW,2025,0.0,0.0,0.0
NHI,2021,0.0,0.0,0.0
NNN,2011,0.0,0.0,0.0
NNN,2014,0.0,0.0,0.0
NNN,2015,0.0,0.0,0.0
NNN,2021,0.0,0.0,0.0
NNN,2022,0.0,0.0,0.0
NNN,2023,0.0,0.0,0.0
NNN,2025,0.0,0.0,0.0
NREF,2021,0.0,0.0,0.0
NREF,2022,0.0,0.0,0.0
NREF,2023,0.0,0.0,0.0
NREF,2024,0.0,0.0,0.0
NREF,2025,0.0,0.0,0.0
NSA,2020,0.0,0.0,0.0
NSA,2021,0.0,0.0,0.0
NSA,2022,0.0,0.0,0.0
NSA,2023,0.0,0.0,0.0
NSA,2024,0.0,0.0,0.0
NSA,2025,0.0,0.0,0.0
NTST,2022,0.0,0.0,0.0
NTST,2023,0.0,0.0,0.0
NTST,2024,0.0,0.0,0.0
O,2015,0.0,0.0,0.0
O,2016,0.0,0.0,0.0
O,2017,0.0,0.0,0.0
O,2018,0.0,0.0,0.0
O,2019,0.0,0.0,0.0
O,2020,0.0,0.0,0.0
O,2021,0.0,0.0,0.0
O,2022,0.0,0.0,0.0
O,2023,0.0,0.0,0.0
O,2024,0.0,0.0,0.0
O,2025,0.0,0.0,0.0
OHI,2010,0.0,0.0,0.0
OHI,2011,0.0,0.0,0.0
OHI,2012,0.0,0.0,0.0
OHI,2013,0.0,0.0,0.0
OHI,2014,0.0,0.0,0.0
OHI,2015,0.0,0.0,0.0
OHI,2016,0.0,0.0,0.0
OHI,2017,0.0,0.0,0.0
OHI,2018,0.0,0.0,0.0
OHI,2019,0.0,0.0,0.0
OHI,2020,0.0,0.0,0.0
OHI,2021,0.0,0.0,0.0
OHI,2022,0.0,0.0,0.0
OHI,2023,0.0,0.0,0.0
OHI,2024,0.0,0.0,0.0
OHI,2025,0.0,0.0,0.0
OUT,2008,0.0,0.0,0.0
OUT,2009,0.0,0.0,0.0
OUT,2010,0.0,0.0,0.0
OUT,2011,0.0,0.0,0.0
OUT,2012,0.0,0.0,0.0
OUT,2013,0.0,0.0,0.0
OUT,2014,0.0,0.0,0.0
OUT,2015,0.0,0.0,0.0
OUT,2016,0.0,0.0,0.0
OUT,2017,0.0,0.0,0.0
OUT,2018,0.0,0.0,0.0
OUT,2019,0.0,0.0,0.0
OUT,2020,0.0,0.0,0.0
OUT,2021,0.0,0.0,0.0
OUT,2022,0.0,0.0,0.0
OUT,2023,0.0,0.0,0.0
OUT,2024,0.0,0.0,0.0
OUT,2025,0.0,0.0,0.0
PDM,2015,0.0,0.0,0.0
PDM,2016,0.0,0.0,0.0
PDM,2017,0.0,0.0,0.0
PDM,2018,0.0,0.0,0.0
PDM,2019,0.0,0.0,0.0
PDM,2020,0.0,0.0,0.0
PDM,2021,0.0,0.0,0.0
PDM,2022,0.0,0.0,0.0
PDM,2024,0.0,0.0,0.0
PEB,2015,0.0,0.0,0.0
PEB,2016,0.0,0.0,0.0
PEB,2020,0.0,0.0,0.0
PEB,2021,0.0,0.0,0.0
PEB,2022,0.0,0.0,0.0
PEB,2023,0.0,0.0,0.0
PEB,2024,0.0,0.0,0.0
PGRE,2016,0.0,0.0,0.0
PGRE,2017,0.0,0.0,0.0
PGRE,2018,0.0,0.0,0.0
PGRE,2019,0.0,0.0,0.0
PGRE,2021,0.0,0.0,0.0
PGRE,2022,0.0,0.0,0.0
PGRE,2023,0.0,0.0,0.0
PGRE,2024,0.0,0.0,0.0
PGRE,2025,0.0,0.0,0.0
PK,2019,0.0,0.0,0.0
PK,2020,0.0,0.0,0.0
PK,2021,0.0,0.0,0.0
PK,2022,0.0,0.0,0.0
PK,2024,0.0,0.0,0.0
PK,2025,0.0,0.0,0.0
PLYM,2021,0.0,0.0,0.0
PLYM,2022,0.0,0.0,0.0
PLYM,2024,0.0,0.0,0.0
PLYM,2025,0.0,0.0,0.0
PMT,2012,0.0,0.0,0.0
PMT,2013,0.0,0.0,0.0
PMT,2014,0.0,0.0,0.0
PMT,2015,0.0,0.0,0.0
PMT,2016,0.0,0.0,0.0
PMT,2017,0.0,0.0,0.0
PMT,2018,0.0,0.0,0.0
PMT,2019,0.0,0.0,0.0
PMT,2020,0.0,0.0,0.0
PMT,2021,0.0,0.0,0.0
PMT,2022,0.0,0.0,0.0
PMT,2023,0.0,0.0,0.0
PMT,2024,0.0,0.0,0.0
PMT,2025,0.0,0.0,0.0
PSA,2008,0.0,0.0,0.0
PSA,2009,0.0,0.0,0.0
PSA,2010,0.0,0.0,0.0
PSA,2011,0.0,0.0,0.0
PSA,2012,0.0,0.0,0.0
PSA,2013,0.0,0.0,0.0
PSA,2014,0.0,0.0,0.0
PSA,2015,0.0,0.0,0.0
PSA,2016,0.0,0.0,0.0
PSA,2017,0.0,0.0,0.0
PSA,2018,0.0,0.0,0.0
PSA,2019,0.0,0.0,0.0
PSA,2020,0.0,0.0,0.0
PSA,2021,0.0,0.0,0.0
PSA,2022,0.0,0.0,0.0
PSA,2023,0.0,0.0,0.0
PSA,2024,0.0,0.0,0.0
PSA,2025,0.0,0.0,0.0
PSTL,2022,0.0,0.0,0.0
RC,2019,0.0,0.0,0.0
RC,2020,0.0,0.0,0.0
RC,2021,0.0,0.0,0.0
RC,2022,0.0,0.0,0.0
RC,2023,0.0,0.0,0.0
RC,2024,0.0,0.0,0.0
RC,2025,0.0,0.0,0.0
REG,2008,0.0,0.0,0.0
REG,2009,0.0,0.0,0.0
REG,2010,0.0,0.0,0.0
REG,2012,0.0,0.0,0.0
